Gender,Age,Class,Section,Math_Score,Science_Score,English_Score,Attendance_Percentage,Study_Hours_per_Week,Internet_Access,Parental_Education,Family_Income,Extracurricular_Participation,Health_Issues,Assignment_Submission_Rate,Result,Exam_Year,Exam_Month,Exam_date,Exam_DayofWeek,Family_Income_log
male,16.0,12,B,94.0,53.0,34.0,94.66,29.0,yes,high_school,60000.0,yes,asthma,0.06,fail,2018.0,December,11.0,Tuesday,11.002116507732017
female,17.0,11,D,82.0,80.0,28.0,57.15,25.0,no,high_school,90000.0,sometimes,anxiety,0.01,fail,2025.0,December,14.0,Sunday,11.407576060361786
female,17.0,11,D,19.0,80.0,71.0,91.73,20.0,yes,not_reported,70000.0,sometimes,not_reported,0.89,fail,2023.0,October,28.0,Saturday,11.156264806643742
female,17.0,11,B,56.0,20.0,62.0,47.43,5.0,yes,graduate,95000.0,sometimes,not_reported,0.75,fail,2024.0,August,1.0,Thursday,11.461642696843066
female,17.0,11,B,14.0,93.0,95.0,41.18,20.0,no,not_reported,170000.0,sometimes,not_reported,0.64,pass,2019.0,October,14.0,Monday,12.04355959836804
unknown,16.0,12,D,70.0,11.0,63.0,67.33,20.0,no,graduate,20000.0,no,anxiety,0.12,fail,2021.0,April,6.0,Tuesday,9.90353755128617
unknown,17.0,11,B,43.0,7.0,25.0,64.17,23.0,no,post_graduate,35000.0,sometimes,asthma,0.16,fail,2025.0,January,22.0,Wednesday,10.463131911491967
male,17.0,11,B,39.0,89.0,43.0,40.49,20.0,no,post_graduate,150000.0,sometimes,not_reported,0.36,pass,2020.0,March,2.0,Monday,11.918397239722838
unknown,17.0,10,A,7.0,6.0,41.0,74.5,5.0,yes,not_reported,30000.0,no,not_reported,0.44,pass,2024.0,November,5.0,Tuesday,10.308985993422082
unknown,17.0,11,C,6.0,6.0,68.0,60.37,14.0,no,post_graduate,85000.0,sometimes,not_reported,0.31,pass,2020.0,June,25.0,Thursday,11.350418300109132
male,17.0,11,A,14.0,58.0,21.0,50.46,26.0,yes,not_reported,80000.0,yes,not_reported,0.86,pass,2018.0,October,16.0,Tuesday,11.289794413577894
male,18.0,11,B,72.0,13.0,88.0,67.7,20.0,yes,not_reported,170000.0,yes,asthma,0.63,fail,2019.0,April,11.0,Thursday,12.04355959836804
female,17.0,11,B,20.0,66.0,100.0,72.62,24.0,yes,post_graduate,170000.0,sometimes,depression,0.57,pass,2022.0,October,7.0,Friday,12.04355959836804
male,17.0,11,A,11.0,49.0,94.0,44.24,32.0,no,high_school,70000.0,sometimes,not_reported,0.7,pass,2021.0,October,5.0,Tuesday,11.156264806643742
female,17.0,10,D,51.0,50.0,50.0,66.0,19.0,yes,post_graduate,45000.0,sometimes,anxiety,0.31,pass,2018.0,June,3.0,Sunday,10.714439990727769
male,17.0,10,B,94.0,72.0,82.0,75.88,30.0,yes,graduate,40000.0,sometimes,not_reported,0.08,fail,2019.0,January,5.0,Saturday,10.596659732783579
male,17.0,11,D,11.0,44.0,50.0,89.73,5.0,yes,post_graduate,130000.0,sometimes,diabetes,0.82,pass,2022.0,March,4.0,Friday,11.775297421715827
male,17.0,11,A,52.0,51.0,72.0,92.65,20.0,no,high_school,25000.0,sometimes,diabetes,0.1,fail,2018.0,August,24.0,Friday,10.12667110305036
unknown,17.0,11,A,39.0,34.0,33.0,57.54,27.0,no,high_school,105000.0,sometimes,not_reported,0.77,pass,2019.0,June,10.0,Monday,11.561725152903833
female,16.0,12,A,11.0,4.0,53.0,70.48,20.0,no,graduate,140000.0,sometimes,depression,0.46,pass,2024.0,June,18.0,Thursday,11.849404844423074
female,17.0,11,A,34.0,20.0,91.0,78.82,20.0,no,graduate,100000.0,no,depression,0.32,pass,2025.0,July,17.0,Thursday,11.51293546492023
female,17.0,10,C,10.0,90.0,63.0,58.09,14.0,no,not_reported,75000.0,yes,asthma,0.13,pass,2024.0,June,18.0,Thursday,11.225256725762893
unknown,17.0,10,A,57.0,95.0,31.0,73.35,20.0,no,not_reported,140000.0,sometimes,depression,0.08,pass,2021.0,June,1.0,Tuesday,11.849404844423074
unknown,16.0,11,B,61.0,47.0,78.0,64.23,32.0,no,graduate,55000.0,sometimes,not_reported,0.86,fail,2024.0,June,18.0,Thursday,10.915106645867503
male,16.0,12,D,12.0,14.0,96.0,81.3,8.0,no,not_reported,20000.0,yes,not_reported,0.64,pass,2024.0,February,24.0,Saturday,9.90353755128617
male,16.0,12,B,93.0,64.0,80.0,46.35,20.0,yes,not_reported,165000.0,yes,anxiety,0.41,fail,2018.0,January,22.0,Monday,12.013706813470414
unknown,17.0,10,A,85.0,85.0,60.0,49.99,20.0,yes,not_reported,40000.0,no,anxiety,0.61,pass,2020.0,September,29.0,Tuesday,10.596659732783579
unknown,17.0,11,A,87.0,24.0,12.0,95.29,39.0,no,not_reported,75000.0,sometimes,asthma,0.46,pass,2020.0,May,3.0,Sunday,11.225256725762893
male,17.0,10,B,62.0,25.0,11.0,66.06,37.0,yes,graduate,160000.0,no,not_reported,0.45,pass,2019.0,January,13.0,Sunday,11.982935344196433
female,16.0,12,B,24.0,68.0,49.0,65.87,15.0,yes,high_school,65000.0,sometimes,not_reported,0.34,fail,2021.0,July,25.0,Sunday,11.082157933374816
male,17.0,11,A,71.0,23.0,12.0,74.78,20.0,yes,not_reported,160000.0,sometimes,not_reported,0.72,fail,2023.0,July,25.0,Tuesday,11.982935344196433
male,16.0,11,D,45.0,26.0,21.0,46.6,21.0,no,graduate,105000.0,no,asthma,0.29,pass,2020.0,July,31.0,Friday,11.561725152903833
female,16.0,12,A,22.0,93.0,7.0,98.58,20.0,yes,graduate,70000.0,yes,anxiety,0.71,pass,2018.0,December,12.0,Wednesday,11.156264806643742
unknown,17.0,11,B,79.0,98.0,24.0,60.8,20.0,yes,graduate,160000.0,no,depression,0.12,fail,2024.0,August,4.0,Sunday,11.982935344196433
female,17.0,11,A,22.0,93.0,48.0,85.07,20.0,no,not_reported,175000.0,yes,anxiety,0.09,pass,2023.0,February,23.0,Thursday,12.07254696717504
male,17.0,11,A,48.0,80.0,36.0,70.25,9.0,no,not_reported,125000.0,sometimes,asthma,0.09,pass,2021.0,April,6.0,Tuesday,11.736077016252437
male,17.0,11,B,52.0,34.0,17.0,83.14,8.0,yes,not_reported,70000.0,yes,asthma,0.33,pass,2020.0,November,17.0,Tuesday,11.156264806643742
unknown,17.0,11,B,99.0,51.0,38.0,58.41,17.0,no,graduate,25000.0,sometimes,not_reported,0.53,pass,2023.0,December,3.0,Sunday,10.12667110305036
female,17.0,11,A,2.0,75.0,56.0,45.59,13.0,no,post_graduate,135000.0,yes,asthma,0.16,fail,2024.0,February,5.0,Monday,11.813037464800539
male,17.0,10,B,74.0,92.0,61.0,48.83,14.0,yes,high_school,190000.0,no,not_reported,0.89,pass,2019.0,October,28.0,Monday,12.154784614286667
male,17.0,11,C,59.0,64.0,98.0,71.67,40.0,yes,graduate,110000.0,sometimes,not_reported,0.88,fail,2023.0,April,3.0,Monday,11.608244735642321
female,17.0,10,D,39.0,14.0,53.0,44.2,20.0,no,graduate,60000.0,no,diabetes,0.18,pass,2024.0,February,3.0,Saturday,11.002116507732017
female,15.0,12,B,86.0,55.0,21.0,92.93,26.0,no,graduate,130000.0,sometimes,diabetes,0.1,fail,2020.0,February,25.0,Tuesday,11.775297421715827
female,17.0,10,A,18.0,36.0,61.0,56.99,7.0,yes,not_reported,65000.0,sometimes,not_reported,0.51,pass,2024.0,May,2.0,Thursday,11.082157933374816
female,17.0,11,D,77.0,66.0,5.0,75.68,17.0,no,graduate,9999999.0,no,depression,0.74,fail,2022.0,January,20.0,Thursday,16.11809565095832
female,17.0,11,B,13.0,20.0,32.0,57.5,13.0,yes,high_school,155000.0,no,not_reported,0.47,pass,2022.0,May,18.0,Wednesday,11.951186847493476
male,16.0,12,B,75.0,29.0,90.0,47.22,20.0,yes,not_reported,160000.0,sometimes,asthma,0.19,pass,2024.0,December,19.0,Thursday,11.982935344196433
unknown,17.0,10,B,20.0,37.0,92.0,92.95,16.0,yes,not_reported,50000.0,sometimes,asthma,0.83,fail,2019.0,March,13.0,Wednesday,10.819798284210286
female,17.0,11,B,29.0,85.0,41.0,85.06,4.0,yes,not_reported,10000.0,sometimes,anxiety,0.78,fail,2019.0,August,15.0,Thursday,9.210440366976517
unknown,15.0,11,D,54.0,23.0,69.0,84.8,16.0,no,post_graduate,170000.0,yes,depression,0.84,pass,2020.0,July,16.0,Thursday,12.04355959836804
unknown,16.0,12,D,96.0,54.0,82.0,42.17,4.0,no,graduate,40000.0,sometimes,depression,0.91,pass,2019.0,December,14.0,Saturday,10.596659732783579
